natCu(p,x)65Zn				
				
Energy	sigma	Phys. yield	Phys. yield	1 h irrad.
(MeV)	(mb)	(MBq/uAh)	(uCi/uAh)	(MBq/uA)

21.7	15.40	5.25E-01	1.42E+01	5.25E-01
21.8	15.19	5.26E-01	1.42E+01	5.26E-01
21.9	14.98	5.26E-01	1.42E+01	5.26E-01
22.0	14.78	5.27E-01	1.42E+01	5.27E-01
22.1	14.58	5.28E-01	1.43E+01	5.28E-01
22.2	14.39	5.28E-01	1.43E+01	5.28E-01
22.3	14.21	5.29E-01	1.43E+01	5.29E-01
22.4	14.04	5.30E-01	1.43E+01	5.30E-01
22.5	13.87	5.30E-01	1.43E+01	5.30E-01
22.6	13.70	5.31E-01	1.43E+01	5.31E-01
22.7	13.55	5.32E-01	1.44E+01	5.31E-01
22.8	13.39	5.32E-01	1.44E+01	5.32E-01
22.9	13.25	5.33E-01	1.44E+01	5.33E-01
23.0	13.10	5.33E-01	1.44E+01	5.33E-01
23.1	12.96	5.34E-01	1.44E+01	5.34E-01
23.2	12.83	5.35E-01	1.44E+01	5.35E-01
23.3	12.70	5.35E-01	1.45E+01	5.35E-01
23.4	12.58	5.36E-01	1.45E+01	5.36E-01
23.5	12.46	5.36E-01	1.45E+01	5.36E-01
23.6	12.34	5.37E-01	1.45E+01	5.37E-01
23.7	12.22	5.38E-01	1.45E+01	5.38E-01
23.8	12.11	5.38E-01	1.45E+01	5.38E-01
23.9	12.01	5.39E-01	1.46E+01	5.39E-01
24.0	11.90	5.39E-01	1.46E+01	5.39E-01
24.1	11.80	5.40E-01	1.46E+01	5.40E-01
24.2	11.70	5.41E-01	1.46E+01	5.41E-01
24.3	11.61	5.41E-01	1.46E+01	5.41E-01
24.4	11.52	5.42E-01	1.46E+01	5.42E-01
24.5	11.43	5.42E-01	1.47E+01	5.42E-01
24.6	11.34	5.43E-01	1.47E+01	5.43E-01
24.7	11.25	5.43E-01	1.47E+01	5.43E-01
24.8	11.17	5.44E-01	1.47E+01	5.44E-01
24.9	11.09	5.45E-01	1.47E+01	5.45E-01
25.0	11.01	5.45E-01	1.47E+01	5.45E-01
25.1	10.93	5.46E-01	1.47E+01	5.46E-01
25.2	10.86	5.46E-01	1.48E+01	5.46E-01
25.3	10.79	5.47E-01	1.48E+01	5.47E-01
25.4	10.72	5.47E-01	1.48E+01	5.47E-01
25.5	10.65	5.48E-01	1.48E+01	5.48E-01
25.6	10.58	5.48E-01	1.48E+01	5.48E-01
25.7	10.51	5.49E-01	1.48E+01	5.49E-01
25.8	10.45	5.50E-01	1.49E+01	5.49E-01
25.9	10.38	5.50E-01	1.49E+01	5.50E-01
26.0	10.32	5.51E-01	1.49E+01	5.51E-01
26.1	10.26	5.51E-01	1.49E+01	5.51E-01
